INFO 2025-05-06 17:42:16,957 autoreload 27504 1428 Watching for file changes with StatReloader
INFO 2025-05-06 18:13:22,002 autoreload 64136 67724 Watching for file changes with StatReloader
INFO 2025-05-06 18:13:38,580 basehttp 64136 24124 "GET /admin/ HTTP/1.1" 200 32250
INFO 2025-05-06 18:13:43,624 basehttp 64136 24124 "GET /admin/accounts/customuser/ HTTP/1.1" 200 31757
INFO 2025-05-06 18:13:43,681 basehttp 64136 24124 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-05-06 18:13:43,760 basehttp 64136 62004 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-05-06 18:13:47,119 basehttp 64136 62004 "GET /admin/ HTTP/1.1" 200 32250
INFO 2025-05-22 00:19:23,997 autoreload 34320 22652 Watching for file changes with StatReloader
INFO 2025-05-22 00:23:16,488 basehttp 34320 45336 "OPTIONS /api/v1/accounts/register/ HTTP/1.1" 200 0
INFO 2025-05-22 00:23:44,621 basehttp 34320 45336 "OPTIONS /api/v1/accounts/register/ HTTP/1.1" 200 0
INFO 2025-05-22 00:25:45,221 autoreload 34320 22652 C:\Users\leo\gradProject\backend\gradProject\settings.py changed, reloading.
INFO 2025-05-22 00:25:47,024 autoreload 46900 24524 Watching for file changes with StatReloader
INFO 2025-05-22 00:26:20,328 autoreload 27016 45620 Watching for file changes with StatReloader
INFO 2025-05-22 00:26:31,814 basehttp 27016 9968 "OPTIONS /api/v1/accounts/register/ HTTP/1.1" 200 0
INFO 2025-05-22 00:26:32,212 basehttp 27016 9968 "POST /api/v1/accounts/register/ HTTP/1.1" 201 611
INFO 2025-05-22 00:28:18,224 basehttp 27016 9968 "OPTIONS /api/v1/accounts/token/ HTTP/1.1" 200 0
INFO 2025-05-22 00:28:18,617 basehttp 27016 9968 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 00:54:25,253 autoreload 36312 16728 Watching for file changes with StatReloader
INFO 2025-05-22 00:55:12,495 basehttp 36312 2584 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 00:55:38,307 basehttp 36312 2584 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 01:19:19,413 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 01:22:22,217 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 01:26:59,541 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
WARNING 2025-05-22 01:27:12,009 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
WARNING 2025-05-22 01:31:41,056 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
WARNING 2025-05-22 01:31:49,353 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
WARNING 2025-05-22 01:36:24,753 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
WARNING 2025-05-22 01:36:30,472 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 400 147
INFO 2025-05-22 01:41:29,805 basehttp 36312 4012 "POST /api/v1/accounts/token/ HTTP/1.1" 200 571
INFO 2025-05-22 01:49:04,705 autoreload 36312 16728 C:\Users\leo\gradProject\backend\accounts\api.py changed, reloading.
INFO 2025-05-22 01:49:07,711 autoreload 41844 39624 Watching for file changes with StatReloader
INFO 2025-05-22 01:49:23,576 autoreload 41844 39624 C:\Users\leo\gradProject\backend\accounts\urls.py changed, reloading.
INFO 2025-05-22 01:49:25,576 autoreload 46872 42676 Watching for file changes with StatReloader
INFO 2025-05-22 01:55:42,185 autoreload 46872 42676 C:\Users\leo\gradProject\backend\accounts\urls.py changed, reloading.
INFO 2025-05-22 01:55:44,373 autoreload 44660 28332 Watching for file changes with StatReloader
INFO 2025-05-22 01:58:24,289 autoreload 44660 28332 C:\Users\leo\gradProject\backend\accounts\views.py changed, reloading.
INFO 2025-05-22 01:58:26,287 autoreload 45876 42284 Watching for file changes with StatReloader
INFO 2025-05-22 01:58:37,756 autoreload 45876 42284 C:\Users\leo\gradProject\backend\accounts\urls.py changed, reloading.
INFO 2025-05-22 01:58:39,767 autoreload 30768 35580 Watching for file changes with StatReloader
INFO 2025-05-22 02:00:31,090 basehttp 30768 16164 "OPTIONS /api/v1/accounts/check/account/ HTTP/1.1" 200 0
